* Sea-Bird SBE37 Data File:
* FileName = C:\BOEM\SB37\BOEMTest1_062923_063023\SB37_BOEMtest1.0.asc
* Software Version 1.59
* Temperature SN = 1308
* Conductivity SN = 1308
* System UpLoad Time = Jun 30 2023 14:31:26
** BOEMTest1
* ds
* SBE37-SM V 2.6b  SERIAL NO. 1308    30 Jun 2023  14:30:51
* not logging: received stop command
* sample interval = 60 seconds
* samplenumber = 1705, free = 188945
* do not transmit real-time data
* output salinity with each sample
* do not output sound velocity with each sample
* store time with each sample
* number of samples to average = 1
* serial sync mode disabled
* wait time after serial sync sampling = 30 seconds
* internal pump is installed
* temperature = 25.75 deg C

* S>
* SBE37-SM V 2.6b  1308
* temperature:  09-jan-14
*     TA0 = -1.041479e-04
*     TA1 = 3.070688e-04
*     TA2 = -4.447841e-06
*     TA3 = 1.996867e-07
* conductivity:  09-jan-14
*     G = -1.052229e+00
*     H = 1.583344e-01
*     I = -3.976814e-05
*     J = 3.120246e-05
*     CPCOR = -9.570000e-08
*     CTCOR = 3.250000e-06
*     WBOTC = -2.976320e-05
* pressure S/N 3804072, range = 160 psia:  06-jan-14
*     PA0 = -1.023833e-01
*     PA1 = 6.955435e-03
*     PA2 = -1.840500e-09
*     PTCA0 = 8.236864e+01
*     PTCA1 = -7.817787e-01
*     PTCA2 = 4.657767e-03
*     PTCSB0 = 2.503525e+01
*     PTCSB1 = -5.500000e-04
*     PTCSB2 = 0.000000e+00
*     POFFSET = 0.000000e+00
* rtc:  09-jan-14
*     RTCA0 = 1.000002e+00
*     RTCA1 = 1.631725e-06
*     RTCA2 = -3.431964e-08

* S> 
*END*
start time =  29 Jun 2023  10:00:01
sample interval = 60 seconds
start sample number = 1
 26.3793, 5.48866,   15.018,  35.2628, 29 Jun 2023, 10:48:01
 26.3830, 5.49383,   14.847,  35.2975, 29 Jun 2023, 10:49:01
 26.3823, 5.49045,   14.962,  35.2735, 29 Jun 2023, 10:50:01
 26.3823, 5.49204,   14.811,  35.2851, 29 Jun 2023, 10:51:01
 26.3830, 5.49169,   15.056,  35.2819, 29 Jun 2023, 10:52:01
 26.3861, 5.49405,   14.865,  35.2967, 29 Jun 2023, 10:53:01
 26.3826, 5.49374,   14.763,  35.2971, 29 Jun 2023, 10:54:01
 26.3834, 5.49452,   14.820,  35.3022, 29 Jun 2023, 10:55:01
 26.3864, 5.49038,   14.802,  35.2699, 29 Jun 2023, 10:56:01
 26.3878, 5.49757,   14.878,  35.3208, 29 Jun 2023, 10:57:01
 26.3862, 5.49643,   14.818,  35.3138, 29 Jun 2023, 10:58:01
 26.3873, 5.49886,   14.813,  35.3306, 29 Jun 2023, 10:59:01
 26.3869, 5.49517,   14.845,  35.3042, 29 Jun 2023, 11:00:01
 26.3851, 5.50804,   14.946,  35.3987, 29 Jun 2023, 11:01:01
 26.3878, 5.50265,   14.930,  35.3576, 29 Jun 2023, 11:02:01
 26.3864, 5.51539,   14.948,  35.4509, 29 Jun 2023, 11:03:01
 26.3886, 5.50863,   14.799,  35.4003, 29 Jun 2023, 11:04:01
 26.3886, 5.51093,   14.959,  35.4169, 29 Jun 2023, 11:05:01
 26.3879, 5.51757,   14.845,  35.4656, 29 Jun 2023, 11:06:01
 26.3907, 5.51613,   14.874,  35.4530, 29 Jun 2023, 11:07:01
 26.3887, 5.51671,   14.946,  35.4587, 29 Jun 2023, 11:08:01
 26.3866, 5.51698,   14.811,  35.4623, 29 Jun 2023, 11:09:01
 26.3898, 5.51505,   14.858,  35.4458, 29 Jun 2023, 11:10:01
 26.3897, 5.51738,   14.951,  35.4628, 29 Jun 2023, 11:11:01
 26.3896, 5.51620,   14.833,  35.4543, 29 Jun 2023, 11:12:01
 26.3881, 5.52154,   15.059,  35.4941, 29 Jun 2023, 11:13:01
 26.3914, 5.52489,   14.917,  35.5159, 29 Jun 2023, 11:14:01
 26.3894, 5.52266,   14.935,  35.5012, 29 Jun 2023, 11:15:01
 26.3902, 5.52755,   14.808,  35.5361, 29 Jun 2023, 11:16:01
 26.3929, 5.51619,   14.746,  35.4518, 29 Jun 2023, 11:17:01
 26.3917, 5.52630,   14.941,  35.5258, 29 Jun 2023, 11:18:01
 26.3962, 5.52464,   14.790,  35.5104, 29 Jun 2023, 11:19:01
 26.3957, 5.52461,   14.980,  35.5105, 29 Jun 2023, 11:20:01
 26.3956, 5.52533,   14.863,  35.5158, 29 Jun 2023, 11:21:01
 26.3947, 5.52617,   15.005,  35.5225, 29 Jun 2023, 11:22:01
 26.3951, 5.53038,   14.975,  35.5527, 29 Jun 2023, 11:23:01
 26.3996, 5.53141,   14.915,  35.5568, 29 Jun 2023, 11:24:01
 26.3966, 5.53005,   14.872,  35.5492, 29 Jun 2023, 11:25:01
 26.3981, 5.53002,   14.863,  35.5479, 29 Jun 2023, 11:26:01
 26.3964, 5.52897,   14.763,  35.5416, 29 Jun 2023, 11:27:01
 26.3974, 5.53159,   14.973,  35.5597, 29 Jun 2023, 11:28:01
 26.3993, 5.53156,   14.824,  35.5581, 29 Jun 2023, 11:29:01
 26.3981, 5.53150,   14.876,  35.5586, 29 Jun 2023, 11:30:01
 26.3989, 5.53242,   14.914,  35.5646, 29 Jun 2023, 11:31:01
 26.3938, 5.53212,   15.039,  35.5663, 29 Jun 2023, 11:32:01
 26.3961, 5.53342,   14.878,  35.5740, 29 Jun 2023, 11:33:01
 26.3996, 5.53374,   14.973,  35.5736, 29 Jun 2023, 11:34:01
 26.3983, 5.53438,   15.061,  35.5792, 29 Jun 2023, 11:35:01
 26.3996, 5.53387,   15.068,  35.5745, 29 Jun 2023, 11:36:01
 26.3932, 5.53934,   15.144,  35.6191, 29 Jun 2023, 11:37:01
 26.3997, 5.53879,   14.977,  35.6101, 29 Jun 2023, 11:38:01
 26.3985, 5.53825,   14.809,  35.6072, 29 Jun 2023, 11:39:01
 26.3983, 5.54013,   14.964,  35.6209, 29 Jun 2023, 11:40:01
 26.4016, 5.54031,   14.905,  35.6197, 29 Jun 2023, 11:41:01
 26.4016, 5.54258,   15.162,  35.6361, 29 Jun 2023, 11:42:01
 26.4042, 5.54100,   14.948,  35.6227, 29 Jun 2023, 11:43:01
 26.4058, 5.54055,   15.022,  35.6181, 29 Jun 2023, 11:44:01
 26.4019, 5.54147,   15.016,  35.6278, 29 Jun 2023, 11:45:01
 26.4047, 5.54006,   14.923,  35.6155, 29 Jun 2023, 11:46:01
 26.4037, 5.54095,   15.011,  35.6227, 29 Jun 2023, 11:47:01
 26.4035, 5.54222,   15.059,  35.6320, 29 Jun 2023, 11:48:01
 26.4052, 5.54122,   15.020,  35.6235, 29 Jun 2023, 11:49:01
 26.4041, 5.54080,   14.896,  35.6213, 29 Jun 2023, 11:50:01
 26.4022, 5.54153,   15.045,  35.6280, 29 Jun 2023, 11:51:01
